label,gloss
gloss_0291,대표1
gloss_0292,대학1
gloss_0293,대학3
gloss_0294,대학교삼학년1
gloss_0295,대학교이학년1
gloss_0296,대학원1
gloss_0297,대학원2
gloss_0298,대화3
gloss_0299,더1
gloss_0300,더1#
gloss_0301,더럽다1
gloss_0302,덥다1
gloss_0303,덥다1#
gloss_0304,데이트1
gloss_0305,도
gloss_0306,도망1
gloss_0307,도착1
gloss_0308,독특1
gloss_0309,돈1
gloss_0310,돈1#
gloss_0311,돈주다2
gloss_0312,돈주다5
gloss_0313,돌아오다1
gloss_0314,돕다1
gloss_0315,동거1
gloss_0316,동네1
gloss_0317,동물1
gloss_0318,동행3
gloss_0319,돼지1
gloss_0320,되다1
gloss_0321,되돌리다1
gloss_0322,되돌리다2
gloss_0323,두가지1
gloss_0324,두껍다1
gloss_0325,두리안
gloss_0326,둘이1
gloss_0327,둘중하나3
gloss_0328,뒤떨어지다1
gloss_0329,드럼1
gloss_0330,듣다1
gloss_0331,들어가다2
gloss_0332,들어맞다1
gloss_0333,들이마시다1
gloss_0334,등산1
gloss_0335,등수:1등
gloss_0336,등수:2등
gloss_0337,디저트
gloss_0338,따다2
gloss_0339,따뜻1
gloss_0340,따라가다3
gloss_0341,따라가다3#
gloss_0342,따로2
gloss_0343,딱딱하다1
gloss_0344,딸1
gloss_0345,딸기1
gloss_0346,때1
gloss_0347,때2
gloss_0348,떡1
gloss_0349,또1
gloss_0350,뚱뚱하다1
gloss_0351,뜨겁다1
gloss_0352,뜨다3
gloss_0353,리트리버
gloss_0354,마그네슘
gloss_0355,마리
gloss_0356,마스크1
gloss_0357,마스크2
gloss_0358,마시다1
gloss_0359,마시다2
gloss_0360,마음1
gloss_0361,마음에들다1
gloss_0362,마포1
gloss_0363,막다1#
gloss_0364,막히다1
gloss_0365,만나다1
gloss_0366,만나다1#
gloss_0367,만들다1
gloss_0368,만약1
gloss_0369,만약2
gloss_0370,많다1
gloss_0371,많다1#
gloss_0372,많다4
gloss_0373,많다6
gloss_0374,말다툼1
gloss_0375,말하다1
gloss_0376,말하다1#
gloss_0377,말하다2
gloss_0378,맛있다1
gloss_0379,맞다1
gloss_0380,맞다2
gloss_0381,맞다4
gloss_0382,맞지않다2
gloss_0383,맞추다1
gloss_0384,맡기다3
gloss_0385,맡다1
gloss_0386,매력1
gloss_0387,매봉
gloss_0388,매일1
gloss_0389,맥주1
gloss_0390,맵다2
gloss_0391,머리1
gloss_0392,머리2
gloss_0393,머리감다1
gloss_0394,머무르다1
gloss_0395,먹다1
gloss_0396,먹다10
gloss_0397,먹다2
gloss_0398,먹다4
gloss_0399,먹다5
gloss_0400,먹다6
gloss_0401,먹다8
gloss_0402,먹이다1
gloss_0403,먹지않다1
gloss_0404,멀다1
gloss_0405,멀리가다1
gloss_0406,멋있다1
gloss_0407,메기1
gloss_0408,멜론
gloss_0409,며칠전1
gloss_0410,며칠후2
gloss_0411,명상1
gloss_0412,몇1
gloss_0413,몇2
gloss_0414,몇년2
gloss_0415,몇시간2
gloss_0416,모기1
gloss_0417,모두1
gloss_0418,모르다1
gloss_0419,모습1
gloss_0420,모여들다2#
gloss_0421,모으다1
gloss_0422,모으다1#
gloss_0423,모임1
gloss_0424,목1
gloss_0425,목적1
gloss_0426,몰려들다5
gloss_0427,몰려들다7
gloss_0428,몸1
gloss_0429,못하다1
gloss_0430,못하다2
gloss_0431,무
gloss_0432,무3
gloss_0433,무섭다2
gloss_0434,무엇1
gloss_0435,무엇1#
gloss_0436,무엇2
gloss_0437,무엇2#
gloss_0438,무조건2
gloss_0439,무치다1
gloss_0440,묵혀두다1
gloss_0441,문어1
gloss_0442,문제1
gloss_0443,문제1#
gloss_0444,문화1
gloss_0445,묻다1#
gloss_0446,묻다2#
gloss_0447,물1
gloss_0448,물2
gloss_0449,물건2
gloss_0450,물고기1
gloss_0451,물고기2
gloss_0452,물고기4
gloss_0453,물다1#
gloss_0454,물떨어지다3
gloss_0455,물음표1
gloss_0456,뮤지컬1
gloss_0457,미끄럼틀2
gloss_0458,미녀1
gloss_0459,미래1
gloss_0460,미안하다1
gloss_0461,민
gloss_0462,믿다1
gloss_0463,밀면
gloss_0464,바꾸다2
gloss_0465,바꾸다2#
gloss_0466,바다1
gloss_0467,바닥1
gloss_0468,바람1
gloss_0469,바로2
gloss_0470,바쁘다2
gloss_0471,바이올린1
gloss_0472,박수1
gloss_0473,밖1
gloss_0474,밖3
gloss_0475,반말하다1
gloss_0476,반응1
gloss_0477,반찬1
gloss_0478,반포
gloss_0479,발전1
gloss_0480,발표1
gloss_0481,방1
gloss_0482,방문2
gloss_0483,방문2#
gloss_0484,방법1
gloss_0485,방산
gloss_0486,방송하다2#
gloss_0487,방식1
gloss_0488,방식2
gloss_0489,방학1
gloss_0490,방해1
gloss_0491,방향1
gloss_0492,방황2
gloss_0493,밭1
gloss_0494,배
gloss_0495,배1
gloss_0496,배2
gloss_0497,배3
gloss_0498,배고프다3
gloss_0499,배구1
gloss_0500,배구3
gloss_0501,배드민턴1
gloss_0502,배말
gloss_0503,배부르다2
gloss_0504,배우다1
gloss_0505,배추1
gloss_0506,백점1
gloss_0507,버리다1
gloss_0508,버섯1
gloss_0509,버스1
gloss_0510,버스1#
gloss_0511,버티다1
gloss_0512,번째:1번째
gloss_0513,벌다1
gloss_0514,벌다4
gloss_0515,벌레1
gloss_0516,벌써2
gloss_0517,법1
gloss_0518,베란다2
gloss_0519,베트남1
gloss_0520,변하다1
gloss_0521,변하다4
gloss_0522,별3
gloss_0523,별로1
gloss_0524,병1
gloss_0525,병원4
gloss_0526,보내다1
gloss_0527,보내다3
gloss_0528,보내다6
gloss_0529,보다1
gloss_0530,보다10
gloss_0531,보다17
gloss_0532,보다17#
gloss_0533,보다2
gloss_0534,보다6
gloss_0535,보말
gloss_0536,보석1
gloss_0537,보수1
gloss_0538,보았다1
gloss_0539,보증1
gloss_0540,보통1
gloss_0541,보통2
gloss_0542,보호2
gloss_0543,복사2
gloss_0544,복지2
gloss_0545,볶다1
gloss_0546,본인1
gloss_0547,부담1
gloss_0548,부드럽다1
gloss_0549,부럽다1
gloss_0550,부르다1
gloss_0551,부르다3
gloss_0552,부르다4
gloss_0553,부리2
gloss_0554,부모1
gloss_0555,부산1
gloss_0556,부족1
gloss_0557,부천1
gloss_0558,부터1
gloss_0559,부터3
gloss_0560,부하1
gloss_0561,분위기1
gloss_0562,분위기2
gloss_0563,불1
gloss_0564,불가능3
gloss_0565,비1
gloss_0566,비건
gloss_0567,비교1
gloss_0568,비교1#
gloss_0569,비교4
gloss_0570,비교안되다1
gloss_0571,비밀1
gloss_0572,비빔1
gloss_0573,비슷하다1
gloss_0574,비슷하다1#
gloss_0575,비싸다1
gloss_0576,비싸다2
gloss_0577,비자1
gloss_0578,비행기1
gloss_0579,비행기1#
gloss_0580,비행기3
gloss_0581,빌딩1
gloss_0582,빌딩3
gloss_0583,빌리다3
gloss_0584,빙수1
gloss_0585,빠르다1
gloss_0586,빠지다2
gloss_0587,빨강1
gloss_0588,빨래2
gloss_0589,빨리1
gloss_0590,빨아먹다1
gloss_0591,빵1
gloss_0592,빼다2
gloss_0593,뻔하다1
gloss_0594,사계절1
gloss_0595,사과1
gloss_0596,사다1
gloss_0597,사다1#
gloss_0598,사라지다1
gloss_0599,사라지다3
gloss_0600,사람1
gloss_0601,사람8
gloss_0602,사랑1
gloss_0603,사무1
gloss_0604,사용1
gloss_0605,사인1
gloss_0606,사투리2
gloss_0607,사형1
gloss_0608,사회1
gloss_0609,산2
gloss_0610,살다1
gloss_0611,상관없다1
gloss_0612,상관없다2
gloss_0613,상담1
gloss_0614,상법
gloss_0615,상상하다3
gloss_0616,상주다1
gloss_0617,상처1
gloss_0618,상처2
gloss_0619,새1
gloss_0620,새롭다1
gloss_0621,새롭다1#
gloss_0622,새벽1
gloss_0623,새우1
gloss_0624,색1
gloss_0625,샐러드1
gloss_0626,생각1
gloss_0627,생각2
gloss_0628,생각없다1
gloss_0629,생기다1
gloss_0630,생기다1#
gloss_0631,생명1
gloss_0632,생존1
gloss_0633,샤워3
gloss_0634,서다1
gloss_0635,서로1
gloss_0636,서류1
gloss_0637,서면
gloss_0638,서양1
gloss_0639,서울1
gloss_0640,서울2
gloss_0641,서핑1
gloss_0642,석유1
gloss_0643,선물1
gloss_0644,선배1
gloss_0645,선언1
gloss_0646,선택1
gloss_0647,선택6
gloss_0648,설거지1
gloss_0649,섬2
gloss_0650,성격1
gloss_0651,세계1
gloss_0652,세금1
gloss_0653,세우다1
gloss_0654,센터1
gloss_0655,셋중하나1
gloss_0656,소1
gloss_0657,소개1
gloss_0658,소변3
gloss_0659,소외되다1
gloss_0660,소주1
gloss_0661,속초2
gloss_0662,손님1
gloss_0663,손톱깎다1
gloss_0664,손해1
gloss_0665,솔직하다1
gloss_0666,수고1
gloss_0667,수리1
gloss_0668,수박1
gloss_0669,수술1
gloss_0670,수영1
gloss_0671,수필
gloss_0672,순서2
gloss_0673,술1
gloss_0674,술2
gloss_0675,술먹이다1
gloss_0676,쉬다1
gloss_0677,쉽다1
gloss_0678,스키1
gloss_0679,스파게티1
gloss_0680,습관1
gloss_0681,승용차1
gloss_0682,승용차1#
gloss_0683,시:5시
gloss_0684,시:6시
gloss_0685,시간2
gloss_0686,시간:10분
gloss_0687,시간:12시간
gloss_0688,시간:15분
gloss_0689,시간:1시간
gloss_0690,시간:20분
gloss_0691,시간:24시간
gloss_0692,시간:3분
gloss_0693,시간:3시간
gloss_0694,시간흐르다1
gloss_0695,시골1
gloss_0696,시야좁다1
gloss_0697,시작1
gloss_0698,시카고
gloss_0699,시키다1
gloss_0700,신경1
gloss_0701,신고1
gloss_0702,신다2
gloss_0703,신발1
gloss_0704,신청1
gloss_0705,실수1
gloss_0706,실패1
gloss_0707,싫다2
gloss_0708,싫다3
gloss_0709,싫다4
gloss_0710,심다1
gloss_0711,심하다1
gloss_0712,싸다1
gloss_0713,쌀1
gloss_0714,썩다1
gloss_0715,쓸어담다1
gloss_0716,씹다1
gloss_0717,아깝다1
gloss_0718,아끼다1
gloss_0719,아니다1
gloss_0720,아니다2
gloss_0721,아니다4
gloss_0722,아니다6
gloss_0723,아들1
gloss_0724,아마1
gloss_0725,아빠1
gloss_0726,아시아1
gloss_0727,아시아2
gloss_0728,아이1
gloss_0729,아이2
gloss_0730,아이디어1
gloss_0731,아이디어2
gloss_0732,아이스크림1
gloss_0733,아직1
gloss_0734,아침4
gloss_0735,아파트1
gloss_0736,아프다1
gloss_0737,아프다2
gloss_0738,아하3
gloss_0739,악취1
gloss_0740,안1
gloss_0741,안2
gloss_0742,안3
gloss_0743,안경1
gloss_0744,안동2
gloss_0745,안되다1
gloss_0746,앉다1
gloss_0747,앉다1#
gloss_0748,알다1
gloss_0749,알아서하다1
gloss_0750,야구1
gloss_0751,야금야금쓰다3
gloss_0752,약1
gloss_0753,약먹다1
gloss_0754,약속1
gloss_0755,약하다1
gloss_0756,양1
gloss_0757,양2
gloss_0758,양양1
gloss_0759,어긋나다1
gloss_0760,어둡다1
gloss_0761,어디1
gloss_0762,어디3
gloss_0763,어디3#
gloss_0764,어떻게1
gloss_0765,어떻게되다1
gloss_0766,어렵다1
gloss_0767,어른2
gloss_0768,어울리다2
gloss_0769,어지럽다1
gloss_0770,언니2
gloss_0771,언제1
gloss_0772,얼굴2
gloss_0773,얼마1
gloss_0774,얼마2
gloss_0775,얼음2
gloss_0776,얽매이다1
gloss_0777,엄격하다1
gloss_0778,엄마1
gloss_0779,없다1
gloss_0780,없다10
gloss_0781,없다11
gloss_0782,없다2
gloss_0783,없다4
gloss_0784,없다6
gloss_0785,없다7
gloss_0786,여동생1
gloss_0787,여러가지1
gloss_0788,여러가지2
gloss_0789,여러번1
gloss_0790,여자1
gloss_0791,여자1#
gloss_0792,여전하다1
gloss_0793,여행1
gloss_0794,역겹다1
gloss_0795,역사1
gloss_0796,연결1
gloss_0797,연결1#
gloss_0798,연결2
gloss_0799,연기1
gloss_0800,연애1
gloss_0801,열다1
gloss_0802,열다5
gloss_0803,열심1
gloss_0804,열심2
gloss_0805,영2
gloss_0806,영상1
gloss_0807,영양1
gloss_0808,영어1
gloss_0809,영원1
gloss_0810,옆1
gloss_0811,예민1
gloss_0812,예쁘다1
gloss_0813,옛날4
gloss_0814,오가다1
gloss_0815,오가다2
gloss_0816,오늘1
gloss_0817,오다1
gloss_0818,오다2
gloss_0819,오다4
gloss_0820,오래1
gloss_0821,오래2
gloss_0822,오래5
gloss_0823,오렌지1
gloss_0824,오르내리다1
gloss_0825,오르다2
gloss_0826,오직1
gloss_0827,오징어1
gloss_0828,오히려1
gloss_0829,옥수수1
gloss_0830,올바르다1
gloss_0831,옮기다1
gloss_0832,옮기다1#
gloss_0833,옮기다3
gloss_0834,옮기다3#
gloss_0835,옷1
gloss_0836,옷두껍다1
gloss_0837,와인1
gloss_0838,완전1
gloss_0839,왜1
gloss_0840,외3
gloss_0841,외국3
gloss_0842,요가1
gloss_0843,요금1
gloss_0844,요리1
gloss_0845,요리1#
gloss_0846,요일2
gloss_0847,요즘1
gloss_0848,욕심1
gloss_0849,욕하다1
gloss_0850,용접1
gloss_0851,우도
gloss_0852,우등
gloss_0853,우울1
gloss_0854,우편2
gloss_0855,운1
gloss_0856,운동1
gloss_0857,운동2
gloss_0858,운영1
gloss_0859,운전1
gloss_0860,운전1#
gloss_0861,운전2
gloss_0862,운전2#
gloss_0863,울다1
gloss_0864,웃다1
gloss_0865,원래2
gloss_0866,원인1
gloss_0867,원주4
gloss_0868,원하다1
gloss_0869,원하다2
gloss_0870,원하지않다2
gloss_0871,월급2
gloss_0872,월요일1
gloss_0873,위로하다1
gloss_0874,위장1
gloss_0875,위하다1
gloss_0876,위험1
gloss_0877,유명하다1
gloss_0878,유명하다2
gloss_0879,유산균
gloss_0880,유산소
gloss_0881,유자
gloss_0882,유치원1
gloss_0883,유튜브1
gloss_0884,유행1
gloss_0885,유행2
gloss_0886,육형1
gloss_0887,은행1
gloss_0888,응암
gloss_0889,응원1
gloss_0890,의미1
gloss_0891,이륙1
gloss_0892,이륙2
gloss_0893,이마트1
gloss_0894,이모1
gloss_0895,이사하다1
gloss_0896,이상하다1
gloss_0897,이야기1
gloss_0898,이야기하다1
gloss_0899,이익1
gloss_0900,이전1
gloss_0901,이해1
gloss_0902,이후1
gloss_0903,인기1
gloss_0904,인문
gloss_0905,인문고
gloss_0906,인생3
gloss_0907,인터넷1
gloss_0908,일3
gloss_0909,일본2
gloss_0910,일부분1
gloss_0911,일요일1
gloss_0912,일요일2
gloss_0913,일하다1
gloss_0914,일형3
gloss_0915,읽다1
gloss_0916,임신1
gloss_0917,입1
gloss_0918,입장1
gloss_0919,있다1
gloss_0920,잊다4
gloss_0921,잎2
gloss_0922,자격증1
gloss_0923,자녀1
gloss_0924,자다1
gloss_0925,자라다4
gloss_0926,자르다4
gloss_0927,자아성찰1
gloss_0928,자연3
gloss_0929,자유1
gloss_0930,자전거1
gloss_0931,작다1
gloss_0932,작다7
gloss_0933,잔소리1
gloss_0934,잘못1
gloss_0935,잘하다1
gloss_0936,잘하다2
gloss_0937,잠1
gloss_0938,잠깐2
gloss_0939,잡다1
gloss_0940,잡다하다1
gloss_0941,장1
gloss_0942,장구1
gloss_0943,장난1
gloss_0944,장난2
gloss_0945,장례1
gloss_0946,장애1
gloss_0947,재미1
gloss_0948,저녁1
gloss_0949,저축1
gloss_0950,적금1
gloss_0951,적당하다1
gloss_0952,전국1
gloss_0953,전기1
gloss_0954,전달1
gloss_0955,전문1
gloss_0956,전문2
gloss_0957,전주1
gloss_0958,전화하다1
gloss_0959,절대1
gloss_0960,절하다1
gloss_0961,젊다1
gloss_0962,점수1
gloss_0963,점심1
gloss_0964,접다1
gloss_0965,젓가락1
gloss_0966,정기적2
gloss_0967,정도1
gloss_0968,정상1
gloss_0969,제사1
gloss_0970,제주도1
gloss_0971,제한1
gloss_0972,제한1#
gloss_0973,조개1
gloss_0974,조용히1
gloss_0975,조절1
gloss_0976,존경1
gloss_0977,졸업1
gloss_0978,좁다1
gloss_0979,종류1
gloss_0980,종류2
gloss_0981,종류3
gloss_0982,종류4
gloss_0983,종암
gloss_0984,종이2
gloss_0985,종이3
gloss_0986,종합4
gloss_0987,좋다1
gloss_0988,주
gloss_0989,주고받다2
gloss_0990,주다1
gloss_0991,주다1#
gloss_0992,주다2
gloss_0993,주먹형1
gloss_0994,주변1
gloss_0995,주세요1
gloss_0996,주제1
gloss_0997,죽다1
gloss_0998,준비1
gloss_0999,줄다1
gloss_1000,줄다2
gloss_1001,줄서다4
gloss_1002,줌1
gloss_1003,중1
gloss_1004,중국1
gloss_1005,중국5
gloss_1006,중국6
gloss_1007,중독1
gloss_1008,중앙1
gloss_1009,중요1
gloss_1010,중학교4
gloss_1011,중학교몇학년2
gloss_1012,중학교이학년2
gloss_1013,중학교일학년2
gloss_1014,쥐1
gloss_1015,증가12
gloss_1016,증가2
gloss_1017,증가3
gloss_1018,지금1
gloss_1019,지다1
gloss_1020,지방1
gloss_1021,지부1
gloss_1022,지시1
gloss_1023,지시1#
gloss_1024,지시2
gloss_1025,지시2#
gloss_1026,지식1
gloss_1027,지역1
gloss_1028,지역1#
gloss_1029,지하철1
gloss_1030,지하철3
gloss_1031,직접1
gloss_1032,직접보다1
gloss_1033,질문2
gloss_1034,집1
gloss_1035,집에있다1
gloss_1036,집중1
gloss_1037,짜다1
gloss_1038,짜다6
gloss_1039,짜장면1
gloss_1040,짜증2
gloss_1041,짧다1
gloss_1042,짬뽕1
gloss_1043,찍다3
gloss_1044,찜
gloss_1045,차
gloss_1046,차2
gloss_1047,차다3#
gloss_1048,차막히다1
gloss_1049,차이1
gloss_1050,착륙1
gloss_1051,참다3
gloss_1052,찾다1
gloss_1053,책1
gloss_1054,처음1
gloss_1055,철1
gloss_1056,청소하다1
gloss_1057,청주1
gloss_1058,체육관1
gloss_1059,초등몇학년2
gloss_1060,초등몇학년6
gloss_1061,초등오학년3
gloss_1062,초등이학년2
gloss_1063,초등일학년2
gloss_1064,초록1
gloss_1065,초록3
gloss_1066,총3
gloss_1067,최고3
gloss_1068,추억1
gloss_1069,추천1
gloss_1070,축구1
gloss_1071,축하1
gloss_1072,춥다1
gloss_1073,충고1
gloss_1074,충고2
gloss_1075,충분하다1
gloss_1076,충청남도1
gloss_1077,충청북도1
gloss_1078,취미1
gloss_1079,층:15층
gloss_1080,층:1층
gloss_1081,치다4
gloss_1082,치즈1
gloss_1083,친구1
gloss_1084,친척1
gloss_1085,친하다2
gloss_1086,칠형1
gloss_1087,카페1
gloss_1088,칼1
gloss_1089,커피2
gloss_1090,케이크1
gloss_1091,케이티엑스1
gloss_1092,코2
gloss_1093,코로나1
gloss_1094,코로나걸리다1
gloss_1095,콘센트3
gloss_1096,콧물1
gloss_1097,콩1
gloss_1098,크다1
gloss_1099,크림
gloss_1100,키우다1
gloss_1101,킥보드1
gloss_1102,타다1
gloss_1103,타다1#
gloss_1104,탁구1
gloss_1105,탄산1
gloss_1106,탕수육1
gloss_1107,태도1
gloss_1108,태백1
gloss_1109,태양1
gloss_1110,택시1
gloss_1111,털1
gloss_1112,테니스1
gloss_1113,텐트1
gloss_1114,토끼1
gloss_1115,토요일1
gloss_1116,토익
gloss_1117,토하다1
gloss_1118,투자1
gloss_1119,투자1#
gloss_1120,투자2
gloss_1121,파1
gloss_1122,파랑1
gloss_1123,파악하다7
gloss_1124,팔4
gloss_1125,팔다1
gloss_1126,팝콘1
gloss_1127,팝콘3
gloss_1128,퍼센트1
gloss_1129,퍼센트5
gloss_1130,펜션
gloss_1131,편안하다1
gloss_1132,평가1
gloss_1133,평가1#
gloss_1134,평균1
gloss_1135,평균1#
gloss_1136,포기1
gloss_1137,표2
gloss_1138,표3
gloss_1139,풀1
gloss_1140,풍무
gloss_1141,프로틴
gloss_1142,피아노1
gloss_1143,피자1
gloss_1144,필요1
gloss_1145,필요없다1
gloss_1146,하다1
gloss_1147,하다가1
gloss_1148,하루1
gloss_1149,하양1
gloss_1150,하지마1
gloss_1151,학교1
gloss_1152,학기
gloss_1153,학생1
gloss_1154,한국1
gloss_1155,한두번1
gloss_1156,한약1
gloss_1157,한적없다1
gloss_1158,한적없다2
gloss_1159,한적있다1
gloss_1160,한적있다2
gloss_1161,할머니1
gloss_1162,할아버지1
gloss_1163,할인1
gloss_1164,함께1
gloss_1165,함께가다2
gloss_1166,함께먹다2
gloss_1167,함께자라다1
gloss_1168,합정
gloss_1169,항상1
gloss_1170,해결2
gloss_1171,핸드폰1
gloss_1172,핸드폰4
gloss_1173,행복1
gloss_1174,행사1
gloss_1175,향기1
gloss_1176,허리띠1
gloss_1177,헛수고1
gloss_1178,헤어지다1
gloss_1179,혁신
